"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000151632",1342.15771476155,-6.16428675764364,0.199187279412058,-30.9471908840705,2.77164972383102e-210,3.67271304904849e-206,"AKR1C2"
"ENSG00000108691",2157.86215273337,8.49304926801631,0.282920519994418,30.0192056347977,5.51107440152124e-198,3.6513623447279e-194,"CCL2"
"ENSG00000096696",798.174116353934,-4.29986701401078,0.159948326414342,-26.8828509206909,3.48523014597729e-159,1.53942615547817e-155,"DSP"
"ENSG00000124212",467.714453662503,-5.39262402361487,0.201023629980367,-26.8258215421816,1.61535201918691e-158,5.35125740156143e-155,"PTGIS"
"ENSG00000225383",773.013926761466,4.74986240666731,0.18089874876694,26.2570218923227,5.94270699676643e-152,1.57493620828304e-148,"SFTA1P"
"ENSG00000163017",1886.60875993759,3.00405332251529,0.129887288519139,23.1281548546041,2.41226133522462e-118,5.32747915884357e-115,"ACTG2"
"ENSG00000113389",548.896591544609,5.66167748320264,0.247761646788726,22.8513071195015,1.41830362823163e-115,2.68484876824248e-112,"NPR3"
"ENSG00000187134",2255.56811431976,-2.9288795000494,0.129058820551235,-22.6941443253518,5.11806616929346e-114,8.47743685116346e-111,"AKR1C1"
"ENSG00000079482",4581.08982905102,-3.5631619654316,0.158119706218343,-22.5345850346529,1.90211577210516e-112,2.80054845512949e-109,"OPHN1"
"ENSG00000163584",1564.15424568235,-2.46748223537408,0.110965169411746,-22.2365472738411,1.5222918217804e-109,2.0171888930412e-106,"RPL22L1"
"ENSG00000110852",331.062545493148,-5.0460165834429,0.227246468864238,-22.2050384706198,3.0703140971016e-109,3.69861200915393e-106,"CLEC2B"
"ENSG00000198959",1148.46092351355,2.56190678547263,0.117994366150023,21.7121110868574,1.57647925183912e-104,1.74082721384335e-101,"TGM2"
"ENSG00000133816",1038.84280765997,2.35674752468053,0.110154363091056,21.3949539405207,1.4887667044984e-101,1.51751135394679e-98,"MICAL2"
"ENSG00000169429",442.983022623446,-4.87815432743112,0.230370305421651,-21.1752739507921,1.61440640768932e-99,1.52803566487795e-96,"CXCL8"
"ENSG00000166165",574.80129335719,3.62972105057315,0.175120488067361,20.7269925445672,1.97769368911815e-95,1.74709460496697e-92,"CKB"
"ENSG00000231290",1400.93600256154,-1.65029210600279,0.0817970145990705,-20.1754564526802,1.60871680167865e-90,1.33231914619024e-87,"APCDD1L-DT"
"ENSG00000167355",365.589860836223,-6.79382898891859,0.342980560166287,-19.8082042481496,2.52945825831218e-87,1.97163831652322e-84,"OR51B5"
"ENSG00000106976",446.525993680146,5.48882287142313,0.285110615048427,19.2515556479398,1.36987126489002e-82,1.00845356283654e-79,"DNM1"
"ENSG00000115380",1265.31771718082,-1.92752419918967,0.103913516760363,-18.5493115744969,8.26031465964011e-77,5.76091734499427e-74,"EFEMP1"
"ENSG00000159167",574.803376786991,3.14362638020862,0.17149897723755,18.3302922900482,4.74349177993882e-75,3.14280047879847e-72,"STC1"
"ENSG00000138119",4058.18088012956,1.27546780493163,0.0705784242002498,18.0716390226111,5.33062901106428e-73,3.36362690598156e-70,"MYOF"
"ENSG00000106462",427.015655519153,6.98902544013421,0.387399164323145,18.0408893043052,9.30346569292821e-73,5.57609164235365e-70,"EZH2"
"ENSG00000152377",1075.47647466655,-2.08175787325654,0.115405061377773,-18.0387051347947,9.67852296235257e-73,5.57609164235365e-70,"SPOCK1"
"ENSG00000120129",1022.53000393011,2.33274761745896,0.130094350688745,17.9311984348969,6.73129960607797e-72,3.7165187950058e-69,"DUSP1"
"ENSG00000185686",2956.39653659727,-1.32069064525525,0.0738440236531243,-17.8848684012544,1.54718035909834e-71,8.20067477536482e-69,"PRAME"
"ENSG00000113140",8701.72283519693,1.19150378640842,0.0674761192136246,17.6581552154208,8.80714092704631e-70,4.4885932470881e-67,"SPARC"
"ENSG00000153885",351.773593454663,-3.08797769035579,0.177358653419556,-17.4109220543693,6.81769770398002e-68,3.34597452871997e-65,"KCTD15"
"ENSG00000112902",825.951120906031,-2.7531817508142,0.158590084621626,-17.3603649773119,1.64673264637718e-67,7.79316224897998e-65,"SEMA5A"
"ENSG00000126752",1085.08081526342,-10.4280846258301,0.601038617561056,-17.3501074991588,1.96875475107817e-67,8.99585145052996e-65,"SSX1"
"ENSG00000114270",311.224262937736,3.5928386131535,0.209358937008733,17.1611427937449,5.18826282606397e-66,2.29165569027245e-63,"COL7A1"
"ENSG00000050165",334.600163100861,2.88475848788229,0.168660300436279,17.103956772401,1.38662354243727e-65,5.92714469704395e-63,"DKK3"
"ENSG00000134986",1067.64631930523,1.98191788533368,0.11597128722679,17.0897291280202,1.76994074417749e-65,7.32921400034249e-63,"NREP"
"ENSG00000124762",880.927948094119,2.31394689439875,0.136981347218809,16.8924232487109,5.11579884542425e-64,2.05422577274899e-61,"CDKN1A"
"ENSG00000101335",10932.0287485116,1.00257663214503,0.0599125346757883,16.7340046214101,7.408526493446e-63,2.88736425190156e-60,"MYL9"
"ENSG00000185860",1303.18657278833,2.14223497438269,0.12859030344277,16.6593819053869,2.58683957106296e-62,9.79377461604435e-60,"CCDC190"
"ENSG00000214944",1782.45961210263,1.22759438025945,0.0738235826801847,16.628756498822,4.31455954107443e-62,1.58811745774381e-59,"ARHGEF28"
"ENSG00000250479",922.546333660456,-1.89695342176986,0.114806235096532,-16.5230870969234,2.50254247691045e-61,8.9624838814974e-59,"CHCHD10"
"ENSG00000100234",262.113639376776,6.02967471183826,0.368542293150378,16.3608758720616,3.63856781100568e-60,1.26880689641148e-57,"TIMP3"
